stock_id,last_run,total_count
3479,1,2
1736,1,2
6831,1,2
1708,0,1
6505,1,2
2495,1,2
3045,1,2
6204,0,1
2327,1,2
5536,1,2
6446,0,1
2347,1,2
8042,1,2
6691,1,2
5880,1,2
1313,1,2
3402,1,2
4743,1,2
8016,1,2
0061,1,1
2458,1,1
8936,1,1
3558,1,1
2886,1,1
6139,1,1
2880,1,1
6101,1,1
6121,1,1
2801,1,1
2472,1,1
6658,1,1
6712,1,1
5386,1,1
1210,1,1
6271,1,1
3236,1,1
3362,1,1
1201,1,1
6190,1,1
2890,1,1
6409,1,1
3617,1,1
5490,1,1
7818,1,1
1310,1,1
6218,1,1
3296,1,1
3481,1,1
3596,1,1
2425,1,1
3450,1,1
4904,1,1
6196,1,1
2441,1,1
2375,1,1
2415,1,1
2329,1,1
2915,1,1
2449,1,1
6217,1,1
6291,1,1
2303,1,1
6241,1,1
3265,1,1
3652,1,1
3147,1,1
2476,1,1
6182,1,1
8110,1,1
2374,1,1
2540,1,1
3055,1,1
1815,1,1
9914,1,1
8105,1,1
2812,1,1
1434,1,1
6531,1,1
6173,1,1
8155,1,1
3014,1,1
1101,1,1
3189,1,1
2404,1,1
8261,1,1
2739,1,1
3131,1,1
6246,1,1
2883,1,1
3406,1,1
6949,1,1
2834,1,1
1718,1,1
8103,1,1
3217,1,1
5392,1,1
6719,1,1
6208,1,1
6781,1,1
5315,1,1
5210,1,1
8162,1,1
8071,1,1
